,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Country,Data Receiving Time (GMT)
0,nikolskoye,59.7,30.79,44.01,94,8.21,65,RU,1603928398
1,pangnirtung,66.15,-65.71,8.94,79,4.65,30,CA,1603928398
2,bluff,-46.6,168.33,57.0,77,5.99,100,NZ,1603928399
3,clyde river,70.47,-68.59,14.61,89,6.11,96,CA,1603928399
4,kapaa,22.08,-159.32,79.0,71,11.32,34,US,1603928399
5,port alfred,-33.59,26.89,66.61,84,5.28,95,ZA,1603928399
6,borovichi,58.39,33.92,47.95,91,7.85,74,RU,1603928399
7,rikitea,-23.12,-134.97,75.0,82,11.7,76,PF,1603928399
8,pisco,-13.7,-76.22,63.0,85,13.0,27,PE,1603928399
9,cherskiy,68.75,161.3,5.81,94,4.5,98,RU,1603928399
10,hilo,19.73,-155.09,81.0,84,1.99,47,US,1603928400
11,salym,60.06,71.48,13.78,92,4.61,91,RU,1603928400
12,santa cruz del sur,20.71,-78.0,80.2,84,11.79,13,CU,1603928400
13,ushuaia,-54.8,-68.3,39.24,86,4.68,57,AR,1603928369
14,dikson,73.51,80.55,3.06,90,22.59,1,RU,1603928400
15,aklavik,68.22,-135.01,17.53,88,6.15,68,CA,1603928400
16,ulaanbaatar,47.91,106.88,29.57,77,4.23,0,MN,1603928400
17,jamestown,42.1,-79.24,45.0,86,5.5,62,US,1603928401
18,kavaratti,10.57,72.64,81.41,75,6.35,0,IN,1603928401
19,hammerfest,70.66,23.68,36.86,82,6.46,97,NO,1603928401
20,lebu,-37.62,-73.65,49.77,72,19.77,16,CL,1603928401
21,fortuna,40.6,-124.16,66.0,48,11.41,20,US,1603928280
22,bolu,40.67,31.58,55.71,55,2.89,3,TR,1603928402
23,san patricio,28.02,-97.52,66.0,44,4.0,0,US,1603928402
24,diffa,13.32,12.61,79.57,22,8.68,0,NE,1603928402
25,leningradskiy,69.38,178.42,19.15,91,10.16,95,RU,1603928402
26,glendive,47.11,-104.71,37.99,77,3.0,77,US,1603928402
27,paita,-5.09,-81.11,65.3,82,14.03,84,PE,1603928403
28,ixtapa,20.7,-105.2,79.75,81,1.99,27,MX,1603928403
29,airai,-8.93,125.41,71.69,58,2.48,52,TL,1603928403
30,esperance,-33.87,121.9,60.13,58,11.12,0,AU,1603928403
31,mar del plata,-38.0,-57.56,57.0,62,5.99,96,AR,1603928403
32,new norfolk,-42.78,147.06,64.99,56,3.0,5,AU,1603928404
33,punta arenas,-53.15,-70.92,48.0,66,25.99,89,CL,1603928404
34,mataura,-46.19,168.86,57.0,77,5.99,96,NZ,1603928404
35,kaeo,-35.1,173.78,63.27,89,7.36,100,NZ,1603928404
36,puerto ayora,-0.74,-90.35,69.01,90,4.0,97,EC,1603928404
37,tuktoyaktuk,69.45,-133.04,19.76,96,20.07,99,CA,1603928404
38,bethel,41.37,-73.41,51.01,95,4.5,94,US,1603928271
39,farsund,58.09,6.8,50.0,84,10.25,80,NO,1603928405
40,cape town,-33.93,18.42,61.0,91,3.0,100,ZA,1603928405
41,loknya,56.83,30.15,50.61,92,9.98,90,RU,1603928405
42,ahipara,-35.17,173.17,67.75,72,3.51,87,NZ,1603928405
43,vaini,-21.2,-175.2,73.27,72,20.67,1,TO,1603928151
44,cobija,-11.03,-68.77,83.12,62,3.0,93,BO,1603928405
45,shetpe,44.17,52.12,40.95,63,19.26,35,KZ,1603928405
46,lompoc,34.64,-120.46,80.01,29,3.0,0,US,1603928248
47,rudbar,30.15,62.6,49.08,48,9.44,0,AF,1603928406
48,novovasylivka,46.83,35.75,53.1,86,10.8,37,UA,1603928406
49,ancud,-41.87,-73.82,51.01,89,7.0,81,CL,1603928406
50,qaanaaq,77.48,-69.36,7.52,73,11.21,9,GL,1603928406
51,brufut,13.38,-16.75,83.37,69,9.26,0,GM,1603928406
52,mount gambier,-37.83,140.77,48.87,98,3.27,100,AU,1603928406
53,avarua,-21.21,-159.78,72.68,81,17.45,40,CK,1603928406
54,hobart,-42.88,147.33,64.99,60,1.01,8,AU,1603928124
55,tessalit,20.2,1.01,76.21,18,8.5,0,ML,1603928406
56,asau,46.43,26.4,46.99,98,4.16,85,RO,1603928407
57,charters towers,-20.1,146.27,82.27,15,12.39,0,AU,1603928407
58,gambo,4.65,22.26,69.89,98,3.0,100,CF,1603928407
59,santa cruz,-17.8,-63.17,86.67,50,10.42,5,BO,1603928297
60,duekoue,6.75,-7.35,71.78,96,2.17,91,CI,1603928407
61,zaraza,9.35,-65.32,75.65,92,5.95,94,VE,1603928407
62,upernavik,72.79,-56.15,12.15,83,11.03,18,GL,1603928407
63,shache,38.42,77.24,40.46,59,1.1,100,CN,1603928407
64,east moline,41.5,-90.44,44.01,71,3.56,73,US,1603928408
65,sao filipe,14.9,-24.5,80.26,75,2.39,26,CV,1603928408
66,vacaria,-28.51,-50.93,55.63,70,3.8,0,BR,1603928408
67,beyneu,45.32,55.2,35.58,86,12.48,27,KZ,1603928408
68,atuona,-9.8,-139.03,77.72,75,12.64,52,PF,1603928408
69,tiksi,71.69,128.87,-0.04,89,15.52,99,RU,1603928408
70,plettenberg bay,-34.05,23.37,60.39,88,2.66,100,ZA,1603928408
71,khatanga,71.97,102.5,-1.08,86,6.8,0,RU,1603928409
72,belaya gora,68.53,146.42,5.11,94,5.73,100,RU,1603928409
73,hermanus,-34.42,19.23,63.0,65,1.99,87,ZA,1603928409
74,tondano,1.3,124.91,71.06,94,2.95,100,ID,1603928409
75,quelimane,-17.88,36.89,69.19,91,2.46,0,MZ,1603928409
76,kununurra,-15.77,128.73,91.53,41,5.59,52,AU,1603928409
77,port antonio,18.18,-76.46,79.0,93,7.0,7,JM,1603928409
